Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Core i5-8250U,406,63.9,180733,https://cpu.userbenchmark.com/SpeedTest/338266/IntelR-CoreTM-i5-8250U-CPU---160GHz
CPU,,Intel,Core i7-2960XM,407,63.8,705,https://cpu.userbenchmark.com/SpeedTest/2390/IntelR-CoreTM-i7-2960XM-CPU---270GHz
CPU,,AMD,Ryzen 7 2800H,408,63.8,46,https://cpu.userbenchmark.com/SpeedTest/667422/AMD-Ryzen-7-2800H-with-Radeon-Vega-Graphics
CPU,,Intel,Core i5-1035G7,409,63.8,2151,https://cpu.userbenchmark.com/SpeedTest/920409/IntelR-CoreTM-i5-1035G7-CPU---120GHz
CPU,,Intel,Core i5-2400S,410,63.7,7551,https://cpu.userbenchmark.com/SpeedTest/304/IntelR-CoreTM-i5-2400S-CPU---250GHz
CPU,,Intel,Core i7-4750HQ,411,63.7,4273,https://cpu.userbenchmark.com/SpeedTest/3709/IntelR-CoreTM-i7-4750HQ-CPU---200GHz
CPU,BX80646I34330,Intel,Core i3-4330,412,63.7,5215,https://cpu.userbenchmark.com/Intel-Core-i3-4330/Rating/2876
CPU,BX80646I34170,Intel,Core i3-4170,413,63.6,34283,https://cpu.userbenchmark.com/SpeedTest/28214/IntelR-CoreTM-i3-4170-CPU---370GHz
CPU,BX80677G4600,Intel,Pentium G4600,414,63.6,12674,https://cpu.userbenchmark.com/Intel-Pentium-G4600/Rating/3894
CPU,,AMD,FX-6350 Six-Core,415,63.6,20970,https://cpu.userbenchmark.com/SpeedTest/713/AMD-FXtm-6350-Six-Core-Processor
CPU,BX80662I36100,Intel,Core i3-6100,416,63.5,89356,https://cpu.userbenchmark.com/Intel-Core-i3-6100/Rating/3511
CPU,,Intel,Core i3-6098P,417,63.5,4548,https://cpu.userbenchmark.com/SpeedTest/80177/IntelR-CoreTM-i3-6098P-CPU---360GHz
CPU,HDE00ZFBGRBOX,AMD,Phenom II X6 1100T,418,63.4,11114,https://cpu.userbenchmark.com/AMD-Phenom-II-X6-1100T/Rating/2004
CPU,,Intel,Xeon W3520,419,63.4,5241,https://cpu.userbenchmark.com/SpeedTest/3585/IntelR-XeonR-CPU-----------W3520----267GHz
CPU,,Intel,Core i7-3615QM,420,63.3,2167,https://cpu.userbenchmark.com/SpeedTest/806/IntelR-CoreTM-i7-3615QM-CPU---230GHz
CPU,FD8320FRHKBOX,AMD,FX-8320,421,63.2,97231,https://cpu.userbenchmark.com/AMD-FX-8320/Rating/1983
CPU,,Intel,Core i5-7260U,422,63.2,1899,https://cpu.userbenchmark.com/SpeedTest/269906/IntelR-CoreTM-i5-7260U-CPU---220GHz
CPU,,AMD,Phenom II X4 980,423,63.2,997,https://cpu.userbenchmark.com/SpeedTest/5445/AMD-Phenomtm-II-X4-980-Processor
CPU,BX80677I37100T,Intel,Core i3-7100T,424,63.1,1706,https://cpu.userbenchmark.com/SpeedTest/230301/IntelR-CoreTM-i3-7100T-CPU---340GHz
CPU,YD1400BBAEBOX,AMD,Ryzen 5 1400,425,63.1,56279,https://cpu.userbenchmark.com/AMD-Ryzen-5-1400/Rating/3922
CPU,,Intel,Core i7-3632QM,426,63,21664,https://cpu.userbenchmark.com/SpeedTest/36/IntelR-CoreTM-i7-3632QM-CPU---220GHz
CPU,,Intel,Xeon E5540,427,62.9,372,https://cpu.userbenchmark.com/SpeedTest/13822/IntelR-XeonR-CPU-----------E5540----253GHz
CPU,,AMD,FX-8310,428,62.9,1473,https://cpu.userbenchmark.com/SpeedTest/18534/AMD-FXtm-8310-Eight-Core-Processor
CPU,BX80677G4560,Intel,Pentium G4560,429,62.9,58350,https://cpu.userbenchmark.com/Intel-Pentium-G4560/Rating/3892
CPU,,Intel,Core i7-2920XM,430,62.9,737,https://cpu.userbenchmark.com/SpeedTest/459/IntelR-CoreTM-i7-2920XM-CPU---250GHz
CPU,,Intel,Core i7-8550U,431,62.9,141906,https://cpu.userbenchmark.com/SpeedTest/320742/IntelR-CoreTM-i7-8550U-CPU---180GHz
CPU,,Intel,Core i7-8665U,432,62.8,4966,https://cpu.userbenchmark.com/SpeedTest/740553/IntelR-CoreTM-i7-8665U-CPU---190GHz
CPU,,Intel,Core i7-2860QM,433,62.8,3311,https://cpu.userbenchmark.com/SpeedTest/103/IntelR-CoreTM-i7-2860QM-CPU---250GHz
CPU,,Intel,Core i7-4702HQ,434,62.8,2633,https://cpu.userbenchmark.com/SpeedTest/297/IntelR-CoreTM-i7-4702HQ-CPU---220GHz
CPU,FD837EWMHKBOX,AMD,FX-8370E,435,62.8,4473,https://cpu.userbenchmark.com/AMD-FX-8370E/Rating/2984
CPU,BX80646I34160,Intel,Core i3-4160,436,62.7,39075,https://cpu.userbenchmark.com/Intel-Core-i3-4160/Rating/2816
CPU,,Intel,Xeon X3430,437,62.6,2828,https://cpu.userbenchmark.com/SpeedTest/5225/IntelR-XeonR-CPU-----------X3430----240GHz
CPU,,Intel,Core i7-3635QM,438,62.6,2327,https://cpu.userbenchmark.com/SpeedTest/2465/IntelR-CoreTM-i7-3635QM-CPU---240GHz
CPU,,Intel,Core i7-8650U,439,62.5,28945,https://cpu.userbenchmark.com/SpeedTest/353957/IntelR-CoreTM-i7-8650U-CPU---190GHz
CPU,,AMD,Phenom II X4 B65,440,62.4,185,https://cpu.userbenchmark.com/SpeedTest/6054/AMD-Phenomtm-II-X4-B65-Processor
CPU,BX80646I34150,Intel,Core i3-4150,441,62.2,28693,https://cpu.userbenchmark.com/Intel-Core-i3-4150/Rating/2309
CPU,YD1200BBAEBOX,AMD,Ryzen 3 1200,442,62.1,64144,https://cpu.userbenchmark.com/AMD-Ryzen-3-1200/Rating/3931
CPU,,Intel,Core i5-1035G4,443,62.1,5748,https://cpu.userbenchmark.com/SpeedTest/921077/IntelR-CoreTM-i5-1035G4-CPU---110GHz
CPU,,AMD,Phenom II X4 975,444,62,889,https://cpu.userbenchmark.com/SpeedTest/3020/AMD-Phenomtm-II-X4-975-Processor
CPU,FD8150FRGUBOX,AMD,FX-8150,445,62,17211,https://cpu.userbenchmark.com/AMD-FX-8150/Rating/2006
CPU,,AMD,FX-8300,446,62,29562,https://cpu.userbenchmark.com/SpeedTest/7163/AMD-FXtm-8300-Eight-Core-Processor
CPU,,Intel,Core i7-4712HQ,447,61.8,4345,https://cpu.userbenchmark.com/SpeedTest/10973/IntelR-CoreTM-i7-4712HQ-CPU---230GHz
CPU,,Intel,Xeon E5-2620 v2,448,61.8,1340,https://cpu.userbenchmark.com/SpeedTest/4718/IntelR-XeonR-CPU-E5-2620-v2---210GHz
